Index,Model,Trainable Parameters,MACs
0,resnet18,11.18 M,1.82 GMac
0,resnet50,23.54 M,4.12 GMac
0,resnet101,42.53 M,7.85 GMac
0,alexnet,57.07 M,0.71 GMac
0,vgg11,128.83 M,7.63 GMac
0,vgg16,134.32 M,15.5 GMac
0,vgg19,139.63 M,19.66 GMac
0,squeezenet,743.12 k,0.74 GMac
0,densenet121,6.97 M,2.88 GMac
0,densenet161,26.51 M,7.82 GMac
0,densenet169,12.51 M,3.42 GMac
0,inception,24.39 M,2.85 GMac
0,googlenet,5.62 M,1.51 GMac
0,xception,20.84 M,4.59 GMac
0,dpn68,11.79 M,3.19 GMac
0,mnasnet1_0,3.12 M,0.33 GMac
0,mobilenet_v2,2.24 M,0.32 GMac
0,mobilenet_v3_small,1.53 M,0.06 GMac
0,mobilenet_v3_large,4.22 M,0.23 GMac
0,efficientnet-b0,4.03 M,0.01 GMac
0,efficientnet-b1,6.53 M,0.02 GMac
0,efficientnet-b2,7.72 M,0.02 GMac
0,efficientnet-b3,10.72 M,0.03 GMac
0,efficientnet-b4,17.58 M,0.03 GMac
0,efficientnet-b5,28.37 M,0.05 GMac
