0.99,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
0,0.88,0,0.12,0,0,0,0,0,0,0,0,0,0,0
0,0,0.95,0,0.03,0,0,0,0,0.03,0,0,0,0,0
0,0,0,0.94,0,0.06,0,0,0,0,0,0,0,0,0
0,0,0,0,0.99,0,0.01,0,0,0,0.01,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0.04,0,0.92,0,0.01,0,0,0,0,0,0.02
0,0,0,0,0,0,0,0.95,0,0,0,0.05,0,0,0
0,0,0,0,0,0,0,0,0.99,0,0,0.01,0,0,0
0.1,0,0,0,0,0.05,0.05,0,0,0.8,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0.03,0,0,0,0,0.97,0,0,0
0,0,0,0,0,0,0.2,0.6,0,0,0,0,0.2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.97
